GDLX, GDLY,GDLZ, GDRX, GDRY, GDRZ, PL, PR, HR, GSR, ConationLevel, PredictedConation
2.80300130988152E-08,1.35070812811906E-07,5.00500500500501E-08,2.10494631873891E-08,1.40094470575163E-07,5.00500500500501E-08,5.04,5.14,7.22,0.0018301368703146,4,0
2.80300130988152E-08,1.35070812811906E-07,5.00500500500501E-08,2.10494631873891E-08,1.40094470575163E-07,5.00500500500501E-08,5.04,5.14,7.22,0.0018301368703146,4,0
4.35929814785027E-07,1.26468944676448E-06,4.80497758001924E-06,1.09434405145827E-06,1.31945930688919E-06,4.65800990677059E-06,5.28,5.01,7.22,-0.00642409909823331,4,0
4.35929814785027E-07,1.26468944676448E-06,4.80497758001924E-06,1.09434405145827E-06,1.31945930688919E-06,4.65800990677059E-06,5.28,5.01,7.22,-0.00642409909823331,4,0
3.79376088745289E-07,1.24416995324563E-06,4.80497758001924E-06,1.04479698174204E-06,1.33097024227781E-06,4.7080574519385E-06,5.26,5.02,7.22,-0.00642409909823331,4,0
1.33894069877041E-07,1.00101533324444E-06,4.00427947087345E-07,9.42577277026986E-07,1.17632050089357E-06,4.75611941980303E-06,5.33,5.09,7.22,-0.00642409909823331,4,0
1.33894069877041E-07,1.00101533324444E-06,4.00427947087345E-07,9.42577277026986E-07,1.17632050089357E-06,4.75611941980303E-06,5.33,5.09,7.22,-0.00642409909823331,4,0
1.33894069877041E-07,1.00101533324444E-06,4.00427947087345E-07,8.90543455042696E-07,1.02722358790012E-06,4.80615194094177E-06,5.34,5.12,7.22,-0.00642409909823331,4,0
5.29804920564861E-07,5.2995653020168E-07,1.50140131123016E-07,8.65518430017671E-07,9.52148512825049E-07,4.80615194094177E-06,5.32,5.13,7.22,-0.00642409909823331,4,0
5.29804920564861E-07,5.2995653020168E-07,1.50140131123016E-07,8.65518430017671E-07,9.52148512825049E-07,4.80615194094177E-06,5.32,5.13,7.22,-0.00642409909823331,4,0
9.70812815584344E-08,2.00118864109613E-08,4.50405364828345E-07,1.05591043965019E-07,9.25696235667929E-08,5.00450405364829E-08,5.13,5.46,7.22,0.00111495680374932,4,0
9.70812815584344E-08,2.00118864109613E-08,4.50405364828345E-07,1.05591043965019E-07,9.25696235667929E-08,5.00450405364829E-08,5.13,5.46,7.22,0.00111495680374932,4,0
