GDLX,GDLY,GDLZ,GDRX,GDRY,GDRZ,PL,PR,HR,GSR,ConationLevel,PredictedConation,GameState,TimeSinceStart
1.48625607790384E-05,3.0806403089892E-05,1.21716549136409E-05,7.64396833710612E-06,2.72603712408508E-05,1.08244713717773E-05,4.31,5.08,-3.57688673531067,0.0435942534738247,6,0,0,7.77595663070679
7.26682788387136E-06,7.15515035986156E-05,1.51719034787145E-05,5.90003549297109E-06,5.36618697689526E-05,1.8850192439727E-05,5.21,5.64,-3.57688673531067,0.0435942534738247,6,0,0,7.85595560073853
1.83356414861619E-05,8.77759064108143E-06,9.79781823456764E-05,3.38202921753052E-06,1.74404642785671E-05,9.84590754452672E-05,5.99,5.32,-3.57688673531067,0.0499819769519581,6,0,0,8.17595195770264
1.55978737727316E-05,1.66598248613369E-05,9.73485152601548E-05,1.78418184513848E-05,3.69200931561004E-05,9.12238034778998E-05,6.15,5.92,-3.57688673531067,0.0557405720239446,6,0,0,8.33594989776611
3.22814314512855E-06,1.13656856412475E-05,1.93095335753008E-06,1.78418184513848E-05,3.69200931561004E-05,9.12238034778998E-05,6.12,5.92,-3.57688673531067,0.0557405720239446,6,0,0,8.35194969177246
3.22814314512855E-06,1.13656856412475E-05,1.93095335753008E-06,1.78418184513848E-05,3.69200931561004E-05,9.12238034778998E-05,6.12,5.92,-3.57688673531067,0.0557405720239446,6,0,0,8.36794948577881
3.22814314512855E-06,1.13656856412475E-05,1.93095335753008E-06,1.78418184513848E-05,3.69200931561004E-05,9.12238034778998E-05,6.12,5.92,-3.57688673531067,0.0557405720239446,6,0,0,8.38394927978516
4.88292975785471E-06,2.64458675205123E-05,9.00540324194517E-05,1.0606363818291E-05,1.34680808485091E-05,9.80588353011807E-05,5.32,5.68,-3.57688673531067,0.0827015743300252,6,0,0,10.5119218826294
9.95098092628469E-06,2.18141353003757E-05,9.01840825758165E-05,1.54686790614005E-05,2.21417872428003E-06,9.80344450534855E-05,5.55,5.82,-7.29688673531066,0.105374976818504,6,0,0,14.3518724441528
1.6136547936594E-05,9.62316342568845E-06,9.01840825758165E-05,1.54686790614005E-05,2.21417872428003E-06,9.80344450534855E-05,5.91,5.82,-7.29688673531066,0.105374976818504,6,0,0,14.3678722381592
1.6136547936594E-05,9.62316342568845E-06,9.01840825758165E-05,1.54686790614005E-05,2.21417872428003E-06,9.80344450534855E-05,5.91,5.82,-9.42688673531066,0.113023902960276,6,0,0,14.3838720321655
2.0098945579931E-05,5.31707560841537E-06,9.69466793263705E-05,4.15249149489694E-06,3.1949169501701E-05,9.40564338603162E-05,5.62,4.88,-2.80688673531066,0.304103225766452,6,0,0,19.744026184082
2.31971201895472E-05,1.08767831388065E-05,9.59081274078193E-05,8.60817776888044E-06,6.75641859766778E-06,9.94945197938041E-05,6.21,5.66,-4.79688673531066,-0.233557229328295,6,0,0,20.7040710449219
9.91583109381587E-06,2.5329067580582E-05,9.59081274078193E-05,9.07821752898461E-06,4.80548102144872E-06,9.91090570153072E-05,5.73,5.37,-4.79688673531066,-0.233557229328295,6,0,0,20.7360725402832
2.16538159776305E-06,3.70859956112743E-05,9.26677447397801E-05,9.07821752898461E-06,4.80548102144872E-06,9.91090570153072E-05,5.45,5.37,-4.79688673531066,-0.233557229328295,6,0,0,20.7520732879639
2.16538159776305E-06,3.70859956112743E-05,9.26677447397801E-05,9.07821752898461E-06,4.80548102144872E-06,9.91090570153072E-05,5.45,5.37,-4.79688673531066,-0.174422201088904,6,0,0,20.7680740356445
4.2320929412621E-07,1.62697652245943E-05,9.00180631930803E-05,2.97237790232186E-06,1.32005604483587E-05,9.90792634107286E-05,5.69,4.98,-5.79688673531066,0.152378501905737,6,0,0,21.5041084289551
4.2320929412621E-07,1.62697652245943E-05,9.00180631930803E-05,2.97237790232186E-06,1.32005604483587E-05,9.90792634107286E-05,5.69,4.98,-5.79688673531066,0.152378501905737,6,0,0,21.5201091766357
4.2320929412621E-07,1.62697652245943E-05,9.00180631930803E-05,2.97237790232186E-06,1.32005604483587E-05,9.90792634107286E-05,5.69,4.98,-5.79688673531066,0.152378501905737,6,0,0,21.5361099243164
2.47345302526857E-05,2.81131757320697E-05,9.19924182145683E-05,1.78619086819757E-05,3.31968287309504E-06,9.8048812365267E-05,4.78,5.36,-5.79688673531066,0.152378501905737,6,0,0,21.5521106719971
2.47345302526857E-05,2.81131757320697E-05,9.19924182145683E-05,1.78619086819757E-05,3.31968287309504E-06,9.8048812365267E-05,4.78,5.36,-5.79688673531066,0.152378501905737,6,0,0,21.5681114196777
2.47345302526857E-05,2.81131757320697E-05,9.19924182145683E-05,1.78619086819757E-05,3.31968287309504E-06,9.8048812365267E-05,4.78,5.36,-5.79688673531066,0.152378501905737,6,0,0,21.5841121673584
9.3701656145355E-06,2.49250628084627E-06,1.10139143499602E-06,2.13713713713714E-05,1.98698698698699E-05,9.56956956956957E-05,5.3,5.58,-5.79688673531066,0.271907154589403,6,0,0,22.6881637573242
9.3701656145355E-06,2.49250628084627E-06,1.10139143499602E-06,2.13713713713714E-05,1.98698698698699E-05,9.56956956956957E-05,5.3,5.58,-5.79688673531066,0.271907154589403,6,0,0,22.7041645050049
2.4430338093791E-05,4.60050420986551E-06,9.01759251571966E-05,3.86204714865945E-07,1.76598869370993E-05,8.99554220690864E-05,5.87,5.64,-7.06688673531066,0.117404987573394,6,0,0,23.3121929168701
2.54738946159908E-05,5.43591992336112E-06,9.61795273184934E-05,5.19922862722139E-06,5.89660131020344E-06,9.96010893493344E-05,6.15,5.85,-7.06688673531066,0.147815487247883,6,0,0,23.4081974029541
2.00054779112754E-05,1.38340068684903E-05,9.00558337244818E-05,1.1011039864466E-05,1.91288568589051E-05,9.00555632919568E-05,4.64,4.36,-9.92688673531066,0.163526789852644,6,0,0,27.4243850708008
2.45659615387951E-05,1.96421404574664E-05,8.99343032883994E-05,1.01566478905401E-05,1.20369382588109E-05,8.99340328558744E-05,4.74,4.64,-9.92688673531066,0.163526789852644,6,0,0,27.4563865661621
1.10336198220856E-05,1.33232590596285E-05,9.00540324194517E-05,3.44676692577938E-05,1.75681852067615E-05,9.20575332556488E-05,5.57,4.75,-13.7968867353107,0.214746959581953,6,0,0,31.5845794677734
1.10336198220856E-05,1.33232590596285E-05,9.00540324194517E-05,3.44676692577938E-05,1.75681852067615E-05,9.20575332556488E-05,5.57,4.75,-13.7968867353107,0.214746959581953,6,0,0,31.6005802154541
3.70801651152961E-05,1.23359392938333E-05,8.98830151638106E-05,1.13255433152786E-05,1.71111434653574E-05,8.99028013369503E-05,4.76,4.22,-9.96688673531066,0.184128329555796,6,0,0,32.4965629577637
1.58072054160964E-05,9.56653895145305E-06,9.77372819743136E-05,1.73435504335335E-05,1.05679944802674E-05,8.9758758035013E-05,5.44,4.84,-9.96688673531066,0.188402547865571,6,0,0,32.5605583190918
1.58072054160964E-05,9.56653895145305E-06,9.77372819743136E-05,1.73435504335335E-05,1.05679944802674E-05,8.9758758035013E-05,5.44,5.09,-9.96688673531066,0.188402547865571,6,0,0,32.5765571594238
1.58072054160964E-05,9.56653895145305E-06,9.77372819743136E-05,1.73435504335335E-05,1.05679944802674E-05,8.9758758035013E-05,5.44,5.09,-9.96688673531066,0.188402547865571,6,0,0,32.5925559997559
1.761582143765E-05,7.7262677753688E-06,9.80883948611444E-05,1.49857635246516E-07,1.46261052000599E-05,9.7906988361057E-05,5.91,5.77,-7.74688673531066,0.112452292693645,6,0,0,33.8724632263184
1.761582143765E-05,7.7262677753688E-06,9.80883948611444E-05,1.49857635246516E-07,1.46261052000599E-05,9.7906988361057E-05,5.91,5.77,-7.74688673531066,0.112452292693645,6,0,0,33.8884620666504
1.761582143765E-05,7.7262677753688E-06,9.80883948611444E-05,1.49857635246516E-07,1.46261052000599E-05,9.7906988361057E-05,5.91,5.77,-7.74688673531066,0.0581346159716061,6,0,0,33.9044609069824
3.68794303831313E-07,2.83245575008531E-06,1.00060036021613E-06,3.60324291862676E-06,1.36322690421379E-05,9.9089180262236E-05,5.24,5.47,-6.43688673531067,0.153349529652995,6,0,0,35.2803611755371
1.18277215187431E-05,2.15201131843212E-05,9.81469733247271E-07,3.60324291862676E-06,1.36322690421379E-05,9.9089180262236E-05,4.49,5.47,-6.43688673531067,0.153349529652995,6,0,0,35.2963600158691
8.60676322838266E-06,3.21844821563802E-06,1.04498341149295E-06,1.40891742252342E-05,8.70795149754332E-06,9.80786670194359E-05,4.45,5.44,-6.43688673531067,0.148450651842145,6,0,0,35.4243507385254
8.60676322838266E-06,3.21844821563802E-06,1.04498341149295E-06,1.40891742252342E-05,8.70795149754332E-06,9.80786670194359E-05,4.45,5.44,-6.43688673531067,0.148450651842145,6,0,0,35.4403495788574
1.52887906149195E-05,2.75533014789364E-05,4.06543269937598E-06,1.43114491593275E-06,4.33346677341873E-06,9.90792634107286E-05,5.07,4.99,9.13311326468934,0.137276125902935,6,0,0,37.3122138977051
1.07551135060534E-05,2.84121694859229E-05,8.98413196066222E-05,2.94140689673602E-06,1.68190075498091E-05,9.80340394496839E-05,4.04,4.88,9.13311326468934,0.137276125902935,6,0,0,37.3602104187012
1.19478957618748E-05,3.0985129323049E-05,9.40600880061529E-05,2.44744744744745E-05,3.72372372372372E-05,8.90890890890891E-05,5.43,4.37,16.5231132646893,0.141439501511419,6,0,0,38.7361106872559
2.20334428127528E-05,4.1070676373927E-05,8.80567861901541E-05,2.44744744744745E-05,3.72372372372372E-05,8.90890890890891E-05,5.88,4.37,16.5231132646893,0.141439501511419,6,0,0,38.7521095275879
2.20334428127528E-05,4.1070676373927E-05,8.80567861901541E-05,2.44744744744745E-05,3.72372372372372E-05,8.90890890890891E-05,5.88,4.37,16.5231132646893,0.136940353572441,6,0,0,38.7681083679199
4.44055911623246E-06,2.37525560451914E-05,9.72103205478183E-05,7.03127246449466E-06,4.11944313878252E-05,9.00875793981469E-05,4.85,5.43,20.2231132646893,0.125101614398869,6,0,0,39.9840202331543
