Gaze 3D position left X, Gaze 3D position left Y, Gaze 3D position left Z, Gaze 3D position right X,Gaze 3D position right Y,Gaze 3D position right Z,Pupil diameter left,Pupil diameter right, HR, GSR, ConationLevel
114.1874695,60.42241745,248.2349518,127.7414124,60.42241745,253.384903,3.28,3.19,7.14,0.454587703,0
114.9874847,60.93479233,249.9344757,98.30010986,46.68502426,182.1838287,3.27,3.16,7.14,0.454587703,0
115.8045822,61.40093002,251.7289551,95.03262787,46.16515579,182.1912354,3.27,3.17,7.14,0.454587703,0
116.0750519,61.64381409,252.2975006,94.04542542,45.9197525,182.1121613,3.26,3.17,7.14,0.454587703,0
116.3433044,61.84912338,252.9080658,94.13278503,45.84904251,182.5824432,3.25,3.16,7.14,0.454587703,0
87.53951416,45.05848274,181.8473053,87.53951416,45.05848274,181.8473053,3.38,3.19,46.32,0.679904766,0
68.07696533,34.4554039,141.6607727,68.07696533,34.4554039,141.6607727,3.35,3.21,46.32,0.679904766,0
45.68782043,18.62275925,81.93771667,45.68782043,18.62275925,81.93771667,3.37,3.17,46.32,0.679904766,0
44.62672272,17.92432442,77.35054016,44.62672272,17.92432442,77.35054016,3.38,3.14,46.32,0.662417071,0
42.95349731,16.8217144,72.88066711,42.95349731,16.8217144,72.88066711,3.39,3.11,46.32,0.662417071,0
42.74914246,16.78479309,72.22667542,42.74914246,16.78479309,72.22667542,3.4,3.09,46.32,0.662417071,0
46.21231537,17.01096382,76.58961792,46.21231537,17.01096382,76.58961792,3.4,3.13,46.32,0.662417071,0
47.97006989,17.23897209,78.91896667,47.97006989,17.23897209,78.91896667,3.36,3.22,46.32,0.662417071,0
48.64076996,17.19958115,79.71047363,48.64076996,17.19958115,79.71047363,3.31,3.2,46.32,0.672533269,0
48.8743103,17.10635071,79.87350159,48.8743103,17.10635071,79.87350159,3.44,3.15,46.32,0.672533269,0
29.1503006,10.50500145,47.34429321,29.1503006,10.50500145,47.34429321,3.45,3.13,46.32,0.672533269,0
13.41011658,4.547282028,21.02281799,13.41011658,4.547282028,21.02281799,3.46,3.1,46.32,0.672533269,0
9.20549469,2.202856445,13.76352844,9.20549469,2.202856445,13.76352844,3.47,3.17,46.32,0.672533269,0
8.577339172,2.015745926,13.01903381,8.577339172,2.015745926,13.01903381,3.47,3.19,46.32,0.701405161,0
8.12159729,1.585870743,12.29519043,8.12159729,1.585870743,12.29519043,3.48,3.19,46.32,0.701405161,0
4.019520569,0.946892929,6.513052368,4.019520569,0.946892929,6.513052368,3.48,3.19,46.32,0.701405161,0
2.404640198,0.551436615,4.201739502,2.404640198,0.551436615,4.201739502,3.48,3.19,46.32,0.701405161,0
1.502745056,0.411024857,2.974136353,1.502745056,0.411024857,2.974136353,3.48,3.15,46.32,0.701405161,0
1.180703735,0.371225357,2.635015869,1.180703735,0.371225357,2.635015869,3.24,2.8,46.61,0.728223052,0
18.2289566,5.18973732,28.81845093,18.2289566,5.18973732,28.81845093,3.23,2.94,47.34,0.806954597,0
29.50121613,7.308806992,55.7631897,29.50121613,7.308806992,55.7631897,3.24,3,47.34,0.806954597,0
40.69445953,11.01577625,72.08875275,40.69445953,11.01577625,72.08875275,3.28,3,47.34,0.806954597,0
42.47591858,11.74211998,74.3265213,42.47591858,11.74211998,74.3265213,3.27,3.03,47.34,0.713232216,0
42.65174408,11.98528099,76.06118622,42.65174408,11.98528099,76.06118622,3.27,3.04,47.34,0.713232216,0
44.37068024,12.79543533,80.06726685,44.37068024,12.79543533,80.06726685,3.27,2.94,47.34,0.713232216,0
62.61509705,18.5032074,109.3833588,62.61509705,18.5032074,109.3833588,3.26,2.92,47.34,0.713232216,0
67.47753296,19.31267166,116.168454,67.47753296,19.31267166,116.168454,3.25,2.91,47.34,0.713232216,0
76.88848267,21.90719185,131.591684,76.88848267,21.90719185,131.591684,3.25,2.96,47.34,0.713232216,0
66.48820496,18.82230263,116.8578644,66.48820496,18.82230263,116.8578644,3.26,2.93,47.34,0.713232216,0
63.81838837,19.20967064,104.6855743,63.81838837,19.20967064,104.6855743,3.28,2.96,47.34,0.626662397,0
66.80604858,19.81894665,112.874501,66.80604858,19.81894665,112.874501,3.05,2.97,84.03,0.742552975,0
79.41772614,23.4984169,135.5381699,79.41772614,23.4984169,135.5381699,3.04,3.06,84.03,0.742552975,0
96.66473846,28.65802193,163.3837814,96.66473846,28.65802193,163.3837814,3.04,3.1,84.03,0.742552975,0
119.5261292,35.45801506,201.5085144,119.5261292,35.45801506,201.5085144,3.04,3.12,84.03,0.742552975,0
101.760965,31.10023422,171.8596191,101.760965,31.10023422,171.8596191,2.91,2.67,84.03,0.857514581,0
96.90252991,30.2791687,164.9270691,96.90252991,30.2791687,164.9270691,2.9,2.49,84.03,0.857514581,0
87.4697998,27.67033691,149.316864,87.4697998,27.67033691,149.316864,2.9,2.42,84.03,0.857514581,0
81.440625,26.27108459,138.032373,81.440625,26.27108459,138.032373,2.9,2.38,84.03,0.857514581,0
73.65133667,24.30892639,123.4317749,73.65133667,24.30892639,123.4317749,2.89,2.37,84.03,0.857514581,0
60.29098206,20.55512695,99.10016479,60.29098206,20.55512695,99.10016479,2.89,2.36,85.83,0.838213543,0
46.58660583,16.64990387,74.19086914,46.58660583,16.64990387,74.19086914,2.89,2.36,85.83,0.838213543,0
29.8969574,11.87406769,44.62368774,29.8969574,11.87406769,44.62368774,2.88,2.36,85.83,0.838213543,0
6.049456787,4.831745911,2.467681885,6.049456787,4.831745911,2.467681885,2.87,2.36,85.83,0.838213543,0
6.030496216,4.041386414,2.52668457,6.030496216,4.041386414,2.52668457,2.87,2.36,85.83,0.838213543,0
6.925939941,4.656834412,2.830395508,6.925939941,4.656834412,2.830395508,2.87,2.37,85.83,0.810171318,0
7.781863403,5.217597961,3.113299561,7.781863403,5.217597961,3.113299561,2.86,2.37,85.83,0.810171318,0
8.077627563,5.376905823,3.128717041,8.077627563,5.376905823,3.128717041,2.86,2.38,85.83,0.810171318,0
7.563095093,5.033085632,2.845361328,7.563095093,5.033085632,2.845361328,2.86,2.38,85.83,0.810171318,0
6.760186768,4.515356445,2.477197266,6.760186768,4.515356445,2.477197266,2.86,2.39,85.83,0.810171318,0
5.945144653,3.993135071,2.126196289,5.945144653,3.993135071,2.126196289,2.86,2.4,85.83,0.810171318,0
5.142797852,3.359867859,1.815002441,5.142797852,3.359867859,1.815002441,2.86,2.4,85.83,0.800855783,0
4.274053955,2.853250122,1.512304688,4.274053955,2.853250122,1.512304688,2.86,2.41,85.83,0.800855783,0
3.441625977,2.235121155,1.222857666,3.441625977,2.235121155,1.222857666,2.86,2.41,85.83,0.800855783,0
2.521221924,1.696542358,0.921575928,2.521221924,1.696542358,0.921575928,2.86,2.42,85.83,0.800855783,0
1.592330933,1.192727661,0.617260742,1.592330933,1.192727661,0.617260742,2.88,2.45,85.83,0.798120212,0
0.693533325,0.694541931,0.318328857,0.693533325,0.694541931,0.318328857,2.88,2.45,85.83,0.799566983,0
0.379898071,0.541584778,0.206964111,0.379898071,0.541584778,0.206964111,2.89,2.45,85.83,0.799566983,0
68.53373718,33.5880722,11.1210083,44.49530334,19.05617218,86.61459351,2.88,2.45,85.83,0.799566983,0
96.84669724,56.89292221,13.50375366,44.46315918,19.02558289,86.60651855,2.89,2.46,85.83,0.799566983,0
101.0826065,65.65722046,113.2531433,44.39239807,18.98634186,86.58292847,2.89,2.46,85.83,0.799566983,0
101.0403305,65.54268188,113.2057495,44.35012207,18.87180328,86.53553467,2.89,2.46,85.83,0.799566983,0
100.9991226,65.5257431,113.1824158,44.30891418,18.8548645,86.51220093,2.89,2.46,85.83,0.804635649,0
100.9830246,65.43496857,113.1529724,44.29281616,18.76408997,86.48275757,2.89,2.47,85.83,0.804635649,0
100.9825729,65.35858917,113.134259,46.77945461,41.02351227,180.8702881,2.89,2.47,85.83,0.804635649,0
100.9619308,65.3275589,113.1173767,53.64374313,45.43357849,182.4195007,2.89,2.47,85.83,0.804635649,0
